# Dear prospective user. The following is a sample data file
# that you can submit to the poprep.tzv.fal.de webservice to
# demonstrate, how it can be used.
#
# The pedigree file needs to have five columns:
# 1. animal ID - treated as character string
# 2. sire ID   - treated as character string
# 3. dam ID    - treated as character string
# 4. birthdate - animal's birthdate (a number of
#                formats are handled (see website)
# 5. sex       - animal's sex: choose your own coding
#                1 - male; 2 - female or m/f
# The columns are separated by the pipe sign: |
#
# Regarding base animals, you have two options:
# 1. list them explictitly as shown here:
#    79950|75900|4500865|1952-03-04|M
#    4500865|unknown_sire|unknown_dam|1950-03-24|F
# 2. no need to list them at all; then sires and dams
#    that do not have an animal record of their own are
#    considered base animals:
#    79950|75900|4500865|1952-03-04|M
#    No animal record for 4500865 in the pedigree file. We will create an
#    appropriate one for you.
#
# You can run this pedigree file as is (# comments are ignored) by
# submitting this file to poprep.tzv.fal.de
#
# Enjoy! EG
# -----------------------------------------------------------
21004991|941674|61498565|1984-12-19|F
42486055|391884|8271245|1998-03-24|F
20683077|501215|20003592|1988-04-22|F
501216|143148|2362045|1973-12-10|M
4167829|394891|21546079|1997-11-25|M
6974851|501244|6621608|1983-12-04|F
48111669|397025|41767757|2004-02-19|F
7867213|390168|7756429|1991-02-22|F
32900|30250|345181|1954-09-30|M
65831|450001|222570|1963-02-26|M
42440063|397032|40447338|1998-10-12|F
394855|941694|21005000|1992-03-01|M
210140|32629|190870|1974-04-22|F
501234|1108638|7588569|1980-07-25|M
41767811|397032|21233374|1997-11-02|F
40197447|393934|8271235|1997-09-27|M
44198335|397032|21337192|2000-02-29|F
46488506|394856|44198322|2002-11-06|M
41767807|396291|2709012|1997-10-30|F
97550|85198|455518|1959-01-23|M
698671|51647|590222|1960-01-01|F
42440135|396291|21337094|1998-12-16|M
48859182|413520|45858059|2005-05-05|F
42440108|394851|21459955|1998-11-22|M
21231892|393931|7867279|1993-11-17|F
422789|29769|323673|1954-02-11|F
501221|11434|7212874|1979-01-04|M
314396|unknown_sire|2547225|1973-10-21|M
21337041|25445|20894931|1994-03-29|F
21233376|313692|20146273|1993-11-06|F
44198199|391886|40447321|1999-03-10|F
1108638|204151|116162|1973-07-01|M
42486045|393934|8271252|1998-03-09|M
394891|383558|6974851|1992-04-07|M
7756443|501200|7167575|1989-09-02|F
501032|65831|830491|1970-07-25|M
6241757|545293|5153190|1976-01-15|F
539860|88992|478090|1961-10-08|M
41767746|399580|7867217|1997-01-04|F
44198279|394851|40447301|1999-11-26|M
46488511|414262|44198333|2002-11-15|M
83260|78000|440341|1956-03-01|M
48859196|393142|45858049|2005-07-29|F
8221130|501216|7265708|1980-10-23|F
312979|450039|2503804|1970-11-01|M
21005271|390168|20766423|1991-09-21|F
8271208|383558|7455232|1992-03-30|F
48111737|393142|45858173|2004-09-11|F
20038980|501225|8523835|1982-02-15|F
40447309|501226|8271239|1996-01-23|M
48111636|413526|44198313|2003-11-24|F
21459955|501215|20146855|1995-01-17|F
5018685|501186|7210163|1980-03-29|F
48859285|815772|48111605|2006-05-29|M
42440131|394851|21231892|1998-12-14|F
48859329|398243|46488492|2006-12-04|M
393935|501228|7455225|1990-10-10|M
10482|9500|46863|1953-10-06|M
46488492|399578|42440150|2002-09-29|F
42486028|395685|21232761|1998-01-25|F
48859351|815772|45858169|2007-03-19|M
501242|143148|7151027|1980-03-25|M
